"instme","city","state","iclevel","net_student_tuition","loan_avg_amount","type"
"South Dakota State University","Brookings","SD","four year",40985887,6555,"public"
"University of Sioux Falls","Sioux Falls","SD","four year",13174220,8787,"private NFP"
"Sanford Medical Center","Sioux Falls","SD","two year",40600,NA,"private NFP"
"Southeast Technical Institute","Sioux Falls","SD","two year",10432961,6513,"public"
"University of South Dakota","Vermillion","SD","four year",33324025,6491,"public"
"Western Dakota Technical Institute","Rapid City","SD","two year",2560749,6637,"public"
"American Baptist College","shville","TN","four year",121143,NA,"private NFP"
"Aquis College","shville","TN","four year",7028520,6778,"private NFP"
"Austin Peay State University","Clarksville","TN","four year",18307558,5684,"public"
"Baptist Memorial College of Health Sciences","Memphis","TN","four year",6284231,6057,"private NFP"
"Belmont University","shville","TN","four year",91015094,12819,"private NFP"
"Bethel University","McKenzie","TN","four year",20352281,4492,"private NFP"
"Bryan College","Dayton","TN","four year",7898070,5401,"private NFP"
"Carson-Newman College","Jefferson City","TN","four year",14213952,5774,"private NFP"
"Chattanooga State Community College","Chattanooga","TN","two year",2666564,5471,"public"
"Christian Brothers University","Memphis","TN","four year",16513199,5917,"private NFP"
"Church of God Theological Semiry","Cleveland","TN","four year",1773732,NA,"private NFP"
"Cleveland State Community College","Cleveland","TN","two year",182003,4060,"public"
"Columbia State Community College","Columbia","TN","two year",2641067,4388,"public"
"Cumberland University","Lebanon","TN","four year",12771554,7042,"private NFP"
"Lipscomb University","shville","TN","four year",47257655,9139,"private NFP"
"East Tennessee State University","Johnson City","TN","four year",38909371,5328,"public"
"Emmanuel School of Religion","Johnson City","TN","four year",271774,NA,"private NFP"
"Fisk University","shville","TN","four year",3974349,6545,"private NFP"
"Free Will Baptist Bible College","shville","TN","four year",2366772,6288,"private NFP"
"Freed-Hardeman University","Henderson","TN","four year",12880783,10000,"private NFP"
"Hiwassee College","Madisonville","TN","four year",322408,2591,"private NFP"
"John A Gupton College","shville","TN","two year",729545,2807,"private NFP"
"Johnson Bible College","Knoxville","TN","four year",2763304,6064,"private NFP"
"King College","Bristol","TN","four year",11081817,6817,"private NFP"
"Lambuth University","Jackson","TN","four year",2112797,7081,"private NFP"
"Lane College","Jackson","TN","four year",5893905,5793,"private NFP"
"Le Moyne-Owen College","Memphis","TN","four year",2120283,2107,"private NFP"
"Lee University","Cleveland","TN","four year",30138006,6267,"private NFP"
"Lincoln Memorial University","Harrogate","TN","four year",41187999,5006,"private NFP"
"Maryville College","Maryville","TN","four year",13457578,6335,"private NFP"
"Meharry Medical College","SHVILLE","TN","four year",17932349,NA,"private NFP"
"Memphis College of Art","Memphis","TN","four year",3906149,6798,"private NFP"
"University of Memphis","Memphis","TN","four year",50041303,5313,"public"
"Memphis Theological Semiry","Memphis","TN","four year",1711030,NA,"private NFP"
"Crichton College","Memphis","TN","four year",2436741,7004,"private NFP"
"Middle Tennessee State University","Murfreesboro","TN","four year",50122970,4963,"public"
"Middle Tennessee School of Anesthesia Inc","Madison","TN","four year",3644413,NA,"private NFP"
"Milligan College","Milligan College","TN","four year",10092369,6170,"private NFP"
"Motlow State Community College","Tullahoma","TN","two year",3607651,2711,"public"
"shville State Community College","shville","TN","two year",5909017,5029,"public"
"O'More College of Design","Franklin","TN","four year",2422369,3881,"private NFP"
"Rhodes College","Memphis","TN","four year",30992795,5783,"private NFP"
"Roane State Community College","Harriman","TN","two year",341222,4382,"public"
"Sewanee-The University of the South","Sewanee","TN","four year",33795484,8111,"private NFP"
"Tennessee Technology Center at Oneida-Huntsville","Huntsville","TN","two year",683013,NA,"public"
"Pellissippi State Community College","Knoxville","TN","two year",5682790,4461,"public"
"Southern Adventist University","Collegedale","TN","four year",29077540,7650,"private NFP"
"Southern College of Optometry","Memphis","TN","four year",11723160,NA,"private NFP"
"Tennessee Wesleyan College","Athens","TN","four year",4867275,5383,"private NFP"
"Tennessee State University","shville","TN","four year",33853524,6539,"public"
"Tennessee Technological University","Cookeville","TN","four year",12654650,4295,"public"
"Trevecca zarene University","shville","TN","four year",14325474,6825,"private NFP"
"Tusculum College","Greeneville","TN","four year",11952708,5339,"private NFP"
"Union University","Jackson","TN","four year",34970068,7838,"private NFP"
"Vanderbilt University","shville","TN","four year",208082430,6052,"private NFP"
"Volunteer State Community College","Gallatin","TN","two year",2970364,2840,"public"
"Walters State Community College","Morristown","TN","two year",886179,2741,"public"
"William Moore College of Technology","Memphis","TN","two year",415156,NA,"private NFP"
"Abilene Christian University","Abilene","TX","four year",46983076,10777,"private NFP"
"Alvin Community College","Alvin","TX","two year",3992863,3163,"public"
"Amberton University","Garland","TX","four year",5902147,NA,"private NFP"
"Angelo State University","San Angelo","TX","four year",26969877,5690,"public"
"Arlington Baptist College","Arlington","TX","four year",456850,4383,"private NFP"
"Austin College","Sherman","TX","four year",20969075,7290,"private NFP"
"Austin Community College District","Austin","TX","two year",19755264,4899,"public"
"Austin Presbyterian Theological Semiry","Austin","TX","four year",272154,NA,"private NFP"
"Baptist Missiory Association Theological Semiry","Jacksonville","TX","four year",182781,NA,"private NFP"
"Texas A&M Health Science Center","College Station","TX","four year",18475234,NA,"public"
"Baylor College of Medicine","Houston","TX","four year",10588212,NA,"private NFP"
"Baylor University","Waco","TX","four year",234236000,9627,"private NFP"
"Blinn College","Brenham","TX","two year",20795560,3742,"public"
"Brazosport College","Lake Jackson","TX","four year",3328016,2678,"public"
"Brookhaven College","Farmers Branch","TX","two year",4474712,5087,"public"
"Central Texas College","Killeen","TX","two year",17913270,4170,"public"
"Clarendon College","Clarendon","TX","two year",102110,4990,"public"
"Concordia University Texas","Austin","TX","four year",17470269,8537,"private NFP"
"North Central Texas College","Gainesville","TX","two year",4105745,3426,"public"
"Texas A & M University-Corpus Christi","Corpus Christi","TX","four year",22126109,6055,"public"
"Dallas Baptist University","Dallas","TX","four year",47348010,9044,"private NFP"
"Dallas Christian College","Dallas","TX","four year",2259598,8336,"private NFP"
"Dallas Institute of Funeral Service","Dallas","TX","two year",1579268,5099,"private NFP"
"Dallas Theological Semiry","Dallas","TX","four year",12177009,NA,"private NFP"
"University of Dallas","Irving","TX","four year",29701393,7456,"private NFP"
"East Texas Baptist University","Marshall","TX","four year",5349783,6499,"private NFP"
"Texas A & M University-Texarka","Texarka","TX","four year",2985620,NA,"public"
"Texas A & M University-Commerce","Commerce","TX","four year",21432675,6196,"public"
"Episcopal Theological Semiry of the Southwest","Austin","TX","four year",438766,NA,"private NFP"
"Hardin-Simmons University","Abilene","TX","four year",16363844,6983,"private NFP"
"Houston Baptist University","Houston","TX","four year",23706702,6989,"private NFP"
"University of Houston-Clear Lake","Houston","TX","four year",29986509,NA,"public"
"Houston Community College","Houston","TX","two year",15735432,3933,"public"
"University of Houston-Downtown","Houston","TX","four year",20011374,1942,"public"
"University of Houston-Victoria","Victoria","TX","four year",11230457,NA,"public"
"University of Houston","Houston","TX","four year",208383728,6171,"public"
"Howard Payne University","Brownwood","TX","four year",6771132,7411,"private NFP"
"Huston-Tillotson University","Austin","TX","four year",460581,7257,"private NFP"
"University of the Incarte Word","San Antonio","TX","four year",73275200,7573,"private NFP"
"Jarvis Christian College","Hawkins","TX","four year",75035,7201,"private NFP"
"Texas A & M Intertiol University","Laredo","TX","four year",3653535,2053,"public"
"LeTourneau University","Longview","TX","four year",30183291,7336,"private NFP"
"Lon Morris College","Jacksonville","TX","two year",6962309,5076,"private NFP"
"Lubbock Christian University","Lubbock","TX","four year",10341842,6418,"private NFP"
"University of Mary Hardin-Baylor","Belton","TX","four year",28271325,9315,"private NFP"
"McMurry University","Abilene","TX","four year",11503507,8104,"private NFP"
"Covent School of Nursing and Allied Health","Lubbock","TX","two year",988895,NA,"private NFP"
"Midland College","Midland","TX","four year",3451532,3563,"public"
"Midwestern State University","Wichita Falls","TX","four year",18347537,5591,"public"
"North Lake College","Irving","TX","two year",3931879,5138,"public"
"University of North Texas","Denton","TX","four year",156296718,5987,"public"
"Oblate School of Theology","San Antonio","TX","four year",1528734,NA,"private NFP"
"Our Lady of the Lake University-San Antonio","San Antonio","TX","four year",23104334,6889,"private NFP"
"Paul Quinn College","Dallas","TX","four year",811455,4462,"private NFP"
"Prairie View A & M University","Prairie View","TX","four year",15698885,6334,"public"
"Ranger College","Ranger","TX","two year",113753,3455,"public"
"Rice University","Houston","TX","four year",78777577,7691,"private NFP"
"Richland College","Dallas","TX","two year",3391174,5360,"public"
"Saint Edward's University","Austin","TX","four year",66885319,8810,"private NFP"
"University of St Thomas","Houston","TX","four year",32969044,6679,"private NFP"
"Sam Houston State University","Huntsville","TX","four year",68457323,5858,"public"
"Schreiner University","Kerrville","TX","four year",9112313,8235,"private NFP"
"St Marys University","San Antonio","TX","four year",46160562,6371,"private NFP"
"South Plains College","Levelland","TX","two year",3463574,4297,"public"
"South Texas College of Law","Houston","TX","four year",29230280,NA,"private NFP"
"Southern Methodist University","Dallas","TX","four year",206109000,7334,"private NFP"
"Southwestern Assemblies of God University","Waxahachie","TX","four year",13115516,7195,"private NFP"
"Southwestern University","Georgetown","TX","four year",19196907,7945,"private NFP"
"Stephen F Austin State University","cogdoches","TX","four year",37489052,7758,"public"
"Texas State University-San Marcos","San Marcos","TX","four year",139466641,5459,"public"
"Southwestern Adventist University","Keene","TX","four year",8800021,6362,"private NFP"
"Southwestern Christian College","Terrell","TX","four year",205591,3821,"private NFP"
"Sul Ross State University","Alpine","TX","four year",86159,5359,"public"
"Tarleton State University","Stephenville","TX","four year",28040161,4831,"public"
"Temple College","Temple","TX","two year",442910,4718,"public"
"Texas A & M University-Kingsville","Kingsville","TX","four year",17096497,5034,"public"
"Texas A & M University at Galveston","Galveston","TX","four year",9539697,6201,"public"
"Texas A & M University","College Station","TX","four year",286392124,6988,"public"
"Texas Chiropractic College Foundation Inc","Pasade","TX","four year",9091762,NA,"private NFP"
"Texas Christian University","Fort Worth","TX","four year",148563608,9439,"private NFP"
"Texas College","Tyler","TX","four year",18584,6392,"private NFP"
"University of North Texas Health Science Center","Forth Worth","TX","four year",12541783,NA,"public"
"Texas Lutheran University","Seguin","TX","four year",15134851,7434,"private NFP"
"Texas Southern University","Houston","TX","four year",28913058,7808,"public"
"Texas Tech University","Lubbock","TX","four year",181209655,8565,"public"
"Texas Wesleyan University","Fort Worth","TX","four year",45455216,7080,"private NFP"
"Texas Woman's University","Denton","TX","four year",41057237,5085,"public"
"Trinity University","San Antonio","TX","four year",39458121,9411,"private NFP"
"Texas Tech University Health Sciences Center","Lubbock","TX","four year",28292370,NA,"public"
"Tyler Junior College","Tyler","TX","two year",8028809,5566,"public"
"Vernon College","Vernon","TX","two year",859601,5318,"public"
"Victoria College","Victoria","TX","two year",3792456,6051,"public"
"Wayland Baptist University","Plainview","TX","four year",27681778,3825,"private NFP"
"Weatherford College","Weatherford","TX","two year",2103908,5089,"public"
"West Texas A & M University","Canyon","TX","four year",21170721,5731,"public"
"Western Texas College","Snyder","TX","two year",386427,4359,"public"
"Wharton County Junior College","Wharton","TX","two year",8819806,4738,"public"
"Wiley College","Marshall","TX","four year",2388621,7351,"private NFP"
"Bridgerland Applied Technology College","Logan","UT","two year",104639,NA,"public"
"Brigham Young University","Provo","UT","four year",103088396,4973,"private NFP"
"Brigham Young University-Hawaii","Laie","HI","four year",3863135,1921,"private NFP"
"Davis Applied Technology College","Kaysville","UT","two year",1562275,NA,"public"
"Dixie State College of Utah","Saint George","UT","four year",7185369,5975,"public"
"Latter-day Saints Business College","Salt Lake City","UT","two year",2362971,3699,"private NFP"
"Southern Utah University","Cedar City","UT","four year",15944297,3025,"public"
"Uintah Basin Applied Technology College","Roosevelt","UT","two year",1134520,NA,"public"
"Utah Valley University","Orem","UT","four year",54654150,4989,"public"
"University of Utah","Salt Lake City","UT","four year",152873000,4380,"public"
"Weber State University","Ogden","UT","four year",48685157,3788,"public"
"Westminster College","Salt Lake City","UT","four year",43190418,7187,"private NFP"
"Bennington College","Bennington","VT","four year",21931785,6068,"private NFP"
"Burlington College","Burlington","VT","four year",2716990,6327,"private NFP"
"Champlain College","Burlington","VT","four year",48117487,5907,"private NFP"
"Goddard College","Plainfield","VT","four year",9282073,10370,"private NFP"
"Green Mountain College","Poultney","VT","four year",10367048,7179,"private NFP"
"Saint Michael's College","Colchester","VT","four year",45623002,8093,"private NFP"
"School for Intertiol Training","Brattleboro","VT","four year",44778377,NA,"private NFP"
"College of St Joseph","Rutland","VT","four year",3849007,6043,"private NFP"
"Southern Vermont College","Bennington","VT","four year",5297776,6901,"private NFP"
"Sterling College","Craftsbury Common","VT","four year",1135318,8795,"private NFP"
"Vermont Law School","South Royalton","VT","four year",20349509,NA,"private NFP"
"University of Vermont","Burlington","VT","four year",208049000,6267,"public"
"Averett University","Danville","VA","four year",7260878,10041,"private NFP"
"Blue Ridge Community College","Weyers Cave","VA","two year",4295705,4987,"public"
"Bluefield College","Bluefield","VA","four year",4826739,7396,"private NFP"
"Bridgewater College","Bridgewater","VA","four year",13922178,7457,"private NFP"
"College of William and Mary","Williamsburg","VA","four year",87606591,6295,"public"
"Regent University","Virginia Beach","VA","four year",49705000,7021,"private NFP"
"Central Virginia Community College","Lynchburg","VA","two year",3901896,NA,"public"
"Christopher Newport University","Newport News","VA","four year",16367846,6129,"public"
"Jefferson College of Health Sciences","Roanoke","VA","four year",12997765,6615,"private NFP"
"Dabney S Lancaster Community College","Clifton Forge","VA","two year",470136,3524,"public"
"Danville Community College","Danville","VA","two year",664534,2923,"public"
"Eastern Virginia Medical School","Norfolk","VA","four year",21843000,NA,"private NFP"
"Emory and Henry College","Emory","VA","four year",7147050,6266,"private NFP"
"Eastern Mennonite University","Harrisonburg","VA","four year",16362664,7438,"private NFP"
"Ferrum College","Ferrum","VA","four year",11754244,6661,"private NFP"
"George Mason University","Fairfax","VA","four year",173694061,6320,"public"
"German Community College","Locust Grove","VA","two year",7940344,NA,"public"
"Hampden-Sydney College","Hampden-Sydney","VA","four year",16996347,6479,"private NFP"
"Hampton University","Hampton","VA","four year",52940312,15146,"private NFP"
"Hollins University","Roanoke","VA","four year",10970585,6850,"private NFP"
"J Sargeant Reynolds Community College","Richmond","VA","two year",9935537,4713,"public"
"James Madison University","Harrisonburg","VA","four year",117658559,5863,"public"
"John Tyler Community College","Chester","VA","two year",6198503,4594,"public"
"Liberty University","Lynchburg","VA","four year",257598443,6807,"private NFP"
"Longwood University","Farmville","VA","four year",15032670,5936,"public"
"Lord Fairfax Community College","Middletown","VA","two year",5818378,NA,"public"
"Lynchburg College","Lynchburg","VA","four year",27796680,8040,"private NFP"
"Lynchburg General Hospital School of Nursing","Lynchburg","VA","two year",1077472,4731,"private NFP"
"Mary Baldwin College","Staunton","VA","four year",14073164,8150,"private NFP"
"University of Mary Washington","Fredericksburg","VA","four year",29268568,6068,"public"
"Marymount University","Arlington","VA","four year",46571295,6512,"private NFP"
"New River Community College","Dublin","VA","two year",3134221,3990,"public"
"Sentara College of Health Sciences","Chesapeake","VA","two year",1649281,10228,"private NFP"
"Northern Virginia Community College","Anndale","VA","two year",95744273,5061,"public"
"Old Dominion University","Norfolk","VA","four year",60505470,5950,"public"
"Piedmont Virginia Community College","Charlottesville","VA","two year",4968901,4519,"public"
"Radford University","Radford","VA","four year",26852435,6022,"public"
"Randolph-Macon College","Ashland","VA","four year",18950045,6452,"private NFP"
"Randolph College","Lynchburg","VA","four year",5212063,9558,"private NFP"
"Rappahannock Community College","Glenns","VA","two year",2653415,NA,"public"
"Bon Secours Memorial School of Nursing","Richmond","VA","two year",1354867,4836,"private NFP"
"University of Richmond","Richmond","VA","four year",79675783,5497,"private NFP"
"Roanoke College","Salem","VA","four year",26710283,6909,"private NFP"
"Saint Pauls College","Lawrenceville","VA","four year",1548211,2427,"private NFP"
"Shendoah University","Winchester","VA","four year",48226766,7853,"private NFP"
"Southern Virginia University","Bue Vista","VA","four year",4165353,9268,"private NFP"
"Sweet Briar College","Sweet Briar","VA","four year",12271104,6163,"private NFP"
"Thomas Nelson Community College","Hampton","VA","two year",3925428,4341,"public"
"Tidewater Community College","Norfolk","VA","two year",24558034,3877,"public"
"The University of Virginia's College at Wise","Wise","VA","four year",1420877,5641,"public"
"Virginia Intermont College","Bristol","VA","four year",4444339,6476,"private NFP"
"Virginia Polytechnic Institute and State University","Blacksburg","VA","four year",253366037,6372,"public"
"Virginia Western Community College","Roanoke","VA","two year",3270248,4412,"public"
"Virginia Commonwealth University","Richmond","VA","four year",192115134,6369,"public"
"University of Virginia-Main Campus","Charlottesville","VA","four year",304024416,6364,"public"
"Virginia Military Institute","Lexington","VA","four year",11706934,5776,"public"
"Virginia University of Lynchburg","Lynchburg","VA","four year",1791116,4341,"private NFP"
"Virginia State University","Petersburg","VA","four year",9968947,8847,"public"
"Virginia Union University","Richmond","VA","four year",8694446,6159,"private NFP"
"Virginia Wesleyan College","Norfolk","VA","four year",15266240,7779,"private NFP"
"Washington and Lee University","Lexington","VA","four year",48982963,4251,"private NFP"
"Wytheville Community College","Wytheville","VA","two year",189512,2134,"public"
"Bellevue College","Bellevue","WA","four year",31044787,6974,"public"
"Bellingham Technical College","Bellingham","WA","two year",163630,NA,"public"
"Central Washington University","Ellensburg","WA","four year",38652973,5642,"public"
"Clark College","Vancouver","WA","two year",5617024,NA,"public"
"Cornish College of the Arts","Seattle","WA","four year",16526427,7483,"private NFP"
"Eastern Washington University","Cheney","WA","four year",41035596,5132,"public"
"Edmonds Community College","Lynnwood","WA","two year",13137592,4449,"public"
"Everett Community College","Everett","WA","two year",9977438,4202,"public"
"The Evergreen State College","Olympia","WA","four year",19190293,5495,"public"
"Gonzaga University","Spokane","WA","four year",106084288,7014,"private NFP"
"Green River Community College","Auburn","WA","two year",14017655,4174,"public"
"Heritage University","Toppenish","WA","four year",8094128,4925,"private NFP"
"Highline Community College","Des Moines","WA","two year",7483186,3967,"public"
"Bastyr University","Kenmore","WA","four year",19056361,NA,"private NFP"
"Bates Technical College","Tacoma","WA","two year",3756133,3505,"public"
"Lake Washington Technical College","Kirkland","WA","four year",4846791,6500,"public"
"Trinity Lutheran College","Everett","WA","four year",1056717,6848,"private NFP"
"Seattle Community College-North Campus","Seattle","WA","two year",10592180,2450,"public"
"Northwest Baptist Semiry","Tacoma","WA","four year",301909,NA,"private NFP"
"Northwest University","Kirkland","WA","four year",16413951,9777,"private NFP"
"Olympic College","Bremerton","WA","four year",6157000,4588,"public"
"Perry Technical Institute","Yakima","WA","two year",6061985,6846,"private NFP"
"Pacific Lutheran University","Tacoma","WA","four year",55071924,6979,"private NFP"
"University of Puget Sound","Tacoma","WA","four year",60087000,6756,"private NFP"
"Renton Technical College","Renton","WA","two year",4024755,4964,"public"
"Saint Martin's University","Lacey","WA","four year",19499373,7109,"private NFP"
"Seattle Community College-South Campus","Seattle","WA","four year",7658409,NA,"public"
"Seattle Community College-Central Campus","Seattle","WA","four year",12700721,NA,"public"
"Seattle Pacific University","Seattle","WA","four year",58801000,7314,"private NFP"
"Seattle University","Seattle","WA","four year",138390790,7620,"private NFP"
"Shoreline Community College","Shoreline","WA","two year",10110556,4815,"public"
"Skagit Valley College","Mount Vernon","WA","two year",3611828,6080,"public"
"Walla Walla University","College Place","WA","four year",29688583,7378,"private NFP"
"Western Washington University","Bellingham","WA","four year",57949843,5132,"public"
"Whatcom Community College","Bellingham","WA","two year",4470916,555,"public"
"Whitman College","Walla Walla","WA","four year",32354586,4795,"private NFP"
"Whitworth University","Spokane","WA","four year",31639570,6354,"private NFP"
"Alderson Broaddus College","Philippi","WV","four year",5919120,6765,"private NFP"
"Appalachian Bible College","Mount Hope","WV","four year",1044350,5693,"private NFP"
"Mountain State University","Beckley","WV","four year",38532279,8311,"private NFP"
"Bethany College","Bethany","WV","four year",7293093,7460,"private NFP"
"Bluefield State College","Bluefield","WV","four year",110997,3718,"public"
"Cabell County Career Technology Center","Huntington","WV","two year",98183,NA,"public"
"University of Charleston","Charleston","WV","four year",15886999,4196,"private NFP"
"Concord University","Athens","WV","four year",503959,2891,"public"
"Davis & Elkins College","Elkins","WV","four year",4430823,6075,"private NFP"
"Ohio Valley University","Vien","WV","four year",3257924,9339,"private NFP"
"Shepherd University","Shepherdstown","WV","four year",13572495,7763,"public"
"West Virginia School of Osteopathic Medicine","Lewisburg","WV","four year",30989361,NA,"public"
"West Liberty University","West Liberty","WV","four year",4996573,7000,"public"
"West Virginia Wesleyan College","Buckhannon","WV","four year",6295688,6187,"private NFP"
"Wheeling Jesuit University","Wheeling","WV","four year",14926754,6918,"private NFP"
"Alverno College","Milwaukee","WI","four year",24931030,5528,"private NFP"
"Madison Area Technical College","Madison","WI","four year",19790783,5807,"public"
"Bellin Health School of Radiologic Technology","Green Bay","WI","two year",43222,NA,"private NFP"
"Bellin College","Green Bay","WI","four year",5204725,NA,"private NFP"
"Beloit College","Beloit","WI","four year",20424479,5431,"private NFP"
"Blackhawk Technical College","Janesville","WI","two year",2973205,3195,"public"
"Lakeside School of Massage Therapy","Milwaukee","WI","two year",919268,10974,"private NFP"
"Carthage College","Kenosha","WI","four year",42851164,8405,"private NFP"
"Concordia University-Wisconsin","Mequon","WI","four year",43973353,8867,"private NFP"
"Edgewood College","Madison","WI","four year",29674047,7466,"private NFP"
"Gateway Technical College","Kenosha","WI","two year",4880087,3694,"public"
"Lakeland College","Plymouth","WI","four year",19391730,7154,"private NFP"
"Lakeshore Technical College","Cleveland","WI","two year",3745779,3671,"public"
"Lawrence University","Appleton","WI","four year",27094356,6691,"private NFP"
"Maratha Baptist Bible College Inc","Watertown","WI","four year",9118170,6490,"private NFP"
"Marian University","Fond Du Lac","WI","four year",20964469,7899,"private NFP"
"Marquette University","Milwaukee","WI","four year",196668000,7557,"private NFP"
"Medical College of Wisconsin","Milwaukee","WI","four year",31739000,NA,"private NFP"
"Mid-State Technical College","Wisconsin Rapids","WI","two year",2333723,4153,"public"
"Milwaukee Area Technical College","Milwaukee","WI","two year",8973122,4124,"public"
"Milwaukee Institute of Art & Design","Milwaukee","WI","four year",9919830,7428,"private NFP"
"Milwaukee School of Engineering","Milwaukee","WI","four year",35923430,7612,"private NFP"
"Moraine Park Technical College","Fond du Lac","WI","two year",5117389,3957,"public"
"Mount Mary College","Milwaukee","WI","four year",14401808,6308,"private NFP"
"shotah House","shotah","WI","four year",245033,NA,"private NFP"
"Nicolet Area Technical College","Rhinelander","WI","two year",1332504,3317,"public"
"Northeast Wisconsin Technical College","Green Bay","WI","two year",9100453,5181,"public"
"Northland Intertiol University","Dunbar","WI","four year",1887790,6978,"private NFP"
"Northland College","Ashland","WI","four year",5917222,7039,"private NFP"
"Ripon College","Ripon","WI","four year",9708926,5691,"private NFP"
"Sacred Heart School of Theology","Franklin","WI","four year",1278518,NA,"private NFP"
"Saint Norbert College","De Pere","WI","four year",30121656,6688,"private NFP"
"Silver Lake College","Manitowoc","WI","four year",3777836,7010,"private NFP"
"Southwest Wisconsin Technical College","Fennimore","WI","two year",1544062,3781,"public"
"University of Wisconsin Colleges","Madison","WI","two year",27835173,4524,"public"
"Viterbo University","La Crosse","WI","four year",27067432,6584,"private NFP"
"Chippewa Valley Technical College","Eau Claire","WI","two year",5421287,4985,"public"
"Waukesha County Technical College","Pewaukee","WI","two year",9097784,5622,"public"
"Western Technical College","La Crosse","WI","two year",3202965,4860,"public"
"University of Wisconsin-Whitewater","Whitewater","WI","four year",49113606,5784,"public"
"Wisconsin Indianhead Technical College","Shell Lake","WI","two year",3702909,4130,"public"
"Wisconsin School of Professiol Psychology","Milwaukee","WI","four year",915683,NA,"private NFP"
"University of Wisconsin-Eau Claire","Eau Claire","WI","four year",45829923,5587,"public"
"University of Wisconsin-Green Bay","Green Bay","WI","four year",20213462,5702,"public"
"University of Wisconsin-La Crosse","La Crosse","WI","four year",51400658,5905,"public"
"Wisconsin Lutheran College","Milwaukee","WI","four year",6400434,6393,"private NFP"
"University of Wisconsin-Oshkosh","Oshkosh","WI","four year",43515013,5976,"public"
"University of Wisconsin-Parkside","Kenosha","WI","four year",13455889,5691,"public"
"University of Wisconsin-Stout","Menomonie","WI","four year",31955150,6316,"public"
"University of Wisconsin-Superior","Superior","WI","four year",9937631,5497,"public"
"University of Wisconsin-Madison","Madison","WI","four year",285785992,6470,"public"
"University of Wisconsin-Milwaukee","Milwaukee","WI","four year",161437120,6630,"public"
"University of Wisconsin-Platteville","Platteville","WI","four year",33503142,5596,"public"
"University of Wisconsin-River Falls","River Falls","WI","four year",27799118,6405,"public"
"University of Wisconsin-Stevens Point","Stevens Point","WI","four year",37629969,5425,"public"
"Casper College","Casper","WY","two year",48426,4945,"public"
"Central Wyoming College","Riverton","WY","two year",225581,4325,"public"
"Eastern Wyoming College","Torrington","WY","two year",150460,3343,"public"
"Laramie County Community College","Cheyenne","WY","two year",3217380,3272,"public"
"Northwest College","Powell","WY","two year",28506,5270,"public"
"Sheridan College","Sheridan","WY","two year",164744,3790,"public"
"Western Wyoming Community College","Rock Springs","WY","two year",2792289,3258,"public"
"University of Wyoming","Laramie","WY","four year",15847157,5466,"public"
"Guam Community College","Mangilao","GU","two year",527830,NA,"public"
"Northern Marias College","Saipan","MP","four year",1386475,NA,"public"
"Universidad Adventista de las Antillas","Mayaguez","PR","four year",5492079,3147,"private NFP"
"Atlantic College","Guaybo","PR","four year",1740066,3000,"private NFP"
"Bayamon Central University","Bayamon","PR","four year",887030,3639,"private NFP"
"Carlos Albizu University","San Juan","PR","four year",5791080,NA,"private NFP"
"Universidad Teologica del Caribe","Trujillo Alto","PR","four year",62188,NA,"private NFP"
"Center for Advanced Studies On Puerto Rico & the Caribbean","San Juan","PR","four year",1010431,NA,"private NFP"
"Humacao Community College","Humacao","PR","two year",11101,NA,"private NFP"
"Inter American University of Puerto Rico-Aguadilla","Aguadilla","PR","four year",125127,2344,"private NFP"
"Inter American University of Puerto Rico-Arecibo","Arecibo","PR","four year",556618,3101,"private NFP"
"Inter American University of Puerto Rico-Metro","San Juan","PR","four year",23981496,3451,"private NFP"
"Inter American University of Puerto Rico-Ponce","Mercedita","PR","four year",555478,2748,"private NFP"
"Inter American University of Puerto Rico-Fajardo","Fajardo","PR","four year",548507,2765,"private NFP"
"Inter American University of Puerto Rico-Guayama","Guayama","PR","four year",340669,3286,"private NFP"
"Inter American University of Puerto Rico-Bayamon","Bayamon","PR","four year",2472052,2855,"private NFP"
"Inter American University of Puerto Rico-School of Law","San Juan","PR","four year",11604827,NA,"private NFP"
"Ponce School of Medicine","Ponce","PR","four year",6292194,NA,"private NFP"
"University of Sacred Heart","Santurce","PR","four year",11653125,3251,"private NFP"
"Semirio Evangelico de Puerto Rico","San Juan","PR","four year",665129,NA,"private NFP"
"Universidad Central Del Caribe","Bayamon","PR","four year",6710164,3857,"private NFP"
"Universidad Politecnica de Puerto Rico","Hato Rey","PR","four year",19523569,4501,"private NFP"
"Palau Community College","Koror","PW","two year",290447,NA,"public"
"Stanford University","Stanford","CA","four year",222737000,6242,"private NFP"
"Purdue University-Main Campus","West Lafayette","IN","four year",444711014,6429,"public"
"Parker College of Chiropractic","Dallas","TX","four year",24896531,NA,"private NFP"
"Dekalb Technical College","Clarkston","GA","two year",5529697,NA,"public"
"Warren County Community College","Washington","NJ","two year",3115352,2286,"public"
"St John's College","Santa Fe","NM","four year",11671728,5453,"private NFP"
"Mid-America Christian University","Oklahoma City","OK","four year",5180871,6489,"private NFP"
"Francis Tuttle Technology Center","Oklahoma City","OK","two year",436116,5445,"public"
"Houston Graduate School of Theology","Houston","TX","four year",302838,NA,"private NFP"
"Unification Theological Semiry","Barrytown","NY","four year",647501,NA,"private NFP"
"Athens Technical College","Athens","GA","two year",2231801,NA,"public"
"Ecumenical Theological Semiry","Detroit","MI","four year",952525,NA,"private NFP"
"Sussex County Community College","Newton","NJ","two year",5146275,4034,"public"
