"instme","city","state","iclevel","net_student_tuition","loan_avg_amount","type"
"Hope Intertiol University","Fullerton","CA","four year",6951432,13420,"private NFP"
"Palo Alto University","Palo Alto","CA","four year",15032518,NA,"private NFP"
"Pacific Lutheran Theological Semiry","Berkeley","CA","four year",622464,NA,"private NFP"
"Pacific Oaks College","Pasade","CA","four year",6455694,NA,"private NFP"
"Pacific School of Religion","Berkeley","CA","four year",1403712,NA,"private NFP"
"Pacific States University","Los Angeles","CA","four year",2136871,6980,"private NFP"
"Pacific Union College","Angwin","CA","four year",17477180,9867,"private NFP"
"Palmer College of Chiropractic-West Campus","San Jose","CA","four year",7077516,NA,"private NFP"
"Palomar College","San Marcos","CA","two year",3168997,3102,"public"
"Patten University","Oakland","CA","four year",1370032,7047,"private NFP"
"Pepperdine University","Malibu","CA","four year",170238000,6772,"private NFP"
"Pitzer College","Claremont","CA","four year",37457231,4766,"private NFP"
"Point Loma zarene University","San Diego","CA","four year",34301891,7600,"private NFP"
"Pomo College","Claremont","CA","four year",29841319,4925,"private NFP"
"Pardee RAND Graduate School","Santa Monica","CA","four year",972358,NA,"private NFP"
"University of Redlands","Redlands","CA","four year",60156425,7535,"private NFP"
"Dongguk University Los Angeles","Los Angeles","CA","four year",1262906,NA,"private NFP"
"Samuel Merritt University","Oakland","CA","four year",36286512,NA,"private NFP"
"University of San Diego","San Diego","CA","four year",182606000,7573,"private NFP"
"San Francisco Art Institute","San Francisco","CA","four year",12417286,9079,"private NFP"
"San Francisco Conservatory of Music","San Francisco","CA","four year",9048761,6134,"private NFP"
"San Francisco State University","San Francisco","CA","four year",84543854,5389,"public"
"San Francisco Theological Semiry","San Anselmo","CA","four year",1001908,NA,"private NFP"
"University of San Francisco","San Francisco","CA","four year",195551000,6496,"private NFP"
"San Joaquin College of Law","Clovis","CA","four year",3064193,NA,"private NFP"
"William Jessup University","Rocklin","CA","four year",8071418,5650,"private NFP"
"San Jose State University","San Jose","CA","four year",111146991,5075,"public"
"College of San Mateo","San Mateo","CA","two year",4039309,3500,"public"
"Santa Monica College","Santa Monica","CA","two year",14841779,4377,"public"
"Saybrook Graduate School and Research Center","San Francisco","CA","four year",12790660,NA,"private NFP"
"Scripps College","Claremont","CA","four year",22983261,4904,"private NFP"
"Shasta Bible College and Graduate School","Redding","CA","four year",247248,NA,"private NFP"
"Trinity Law and Graduate School","Santa A","CA","four year",2458227,NA,"private NFP"
"Simpson University","Redding","CA","four year",6863654,7455,"private NFP"
"Skyline College","San Bruno","CA","two year",2847263,4474,"public"
"Saint Marys College of California","Moraga","CA","four year",59604781,7204,"private NFP"
"Sonoma State University","Rohnert Park","CA","four year",28135139,5261,"public"
"Vanguard University of Southern California","Costa Mesa","CA","four year",26004628,10137,"private NFP"
"St. John's Semiry","Camarillo","CA","four year",1380375,NA,"private NFP"
"Starr King School for Ministry","Berkeley","CA","four year",943761,NA,"private NFP"
"Southern California College of Optometry","Fullerton","CA","four year",10804012,NA,"private NFP"
"Southern California Institute of Architecture","Los Angeles","CA","four year",13471838,5500,"private NFP"
"University of Southern California","Los Angeles","CA","four year",813833101,6689,"private NFP"
"Southwestern Law School","Los Angeles","CA","four year",29476869,NA,"private NFP"
"Claremont School of Theology","Claremont","CA","four year",1482509,NA,"private NFP"
"Thomas Aquis College","Santa Paula","CA","four year",3605087,3633,"private NFP"
"Trinity Life Bible College","Sacramento","CA","four year",505627,2333,"private NFP"
"Westminster Theological Semiry in California","Escondido","CA","four year",1051818,NA,"private NFP"
"Westmont College","Santa Barbara","CA","four year",24790147,7990,"private NFP"
"Woodbury University","Burbank","CA","four year",23069958,5305,"private NFP"
"The Wright Institute","Berkeley","CA","four year",6877847,NA,"private NFP"
"Yeshiva Ohr Elchonon Chabad West Coast Talmudical Semiry","Los Angeles","CA","four year",1182866,NA,"private NFP"
"Adams State College","Alamosa","CO","four year",8354412,5744,"public"
"Aims Community College","Greeley","CO","two year",4616088,6032,"public"
"Arapahoe Community College","Littleton","CO","two year",17842129,3837,"public"
"Boulder College of Massage Therapy","Boulder","CO","two year",1961240,4354,"private NFP"
"University of Colorado Denver","Denver","CO","four year",162561366,5546,"public"
"University of Colorado at Colorado Springs","Colorado Springs","CO","four year",57125971,5413,"public"
"University of Colorado at Boulder","Boulder","CO","four year",394223168,6749,"public"
"Colorado College","Colorado Springs","CO","four year",53865734,5176,"private NFP"
"Colorado Mountain College","Glenwood Springs","CO","two year",5688336,5960,"public"
"Colorado Northwestern Community College","Rangely","CO","two year",3589355,5004,"public"
"Colorado School of Mines","Golden","CO","four year",67893482,7185,"public"
"Colorado State University","Fort Collins","CO","four year",211519133,5927,"public"
"Community College of Aurora","Aurora","CO","two year",12354824,6292,"public"
"Community College of Denver","Denver","CO","two year",15536755,6563,"public"
"Denver Semiry","Littleton","CO","four year",6775836,NA,"private NFP"
"University of Denver","Denver","CO","four year",245737323,5783,"private NFP"
"Fort Lewis College","Durango","CO","four year",13749433,4685,"public"
"Front Range Community College","Westminster","CO","two year",45286577,5690,"public"
"Iliff School of Theology","Denver","CO","four year",1383545,NA,"private NFP"
"Lamar Community College","Lamar","CO","two year",608323,5313,"public"
"Mesa State College","Grand Junction","CO","four year",26607492,7744,"public"
"Metropolitan State College of Denver","Denver","CO","four year",60517942,5286,"public"
"Morgan Community College","Fort  Morgan","CO","two year",1934596,5849,"public"
"ropa University","Boulder","CO","four year",15123876,7213,"private NFP"
"zarene Bible College","Colorado Springs","CO","four year",3396735,4542,"private NFP"
"Northeastern Junior College","Sterling","CO","two year",2946340,4914,"public"
"University of Northern Colorado","Greeley","CO","four year",63589584,5982,"public"
"Otero Junior College","La Junta","CO","two year",734290,5679,"public"
"Pikes Peak Community College","Colorado Springs","CO","two year",25416428,5297,"public"
